algorithm,config_file,source_suite,source_rank,objective_score,note
random,random/best_01.json,manual,1,,Uniform random policy baseline with one minimal config.
mappo,mappo/best_01.json,combined,1,-32.147239685058594,Imported from combined2 simple_spread_dynamic_v3 leaderboard.
mappo,mappo/best_02.json,combined,2,-32.242897033691406,Imported from combined2 simple_spread_dynamic_v3 leaderboard.
mappo,mappo/best_03.json,combined,3,-33.06648216247558,Imported from combined2 simple_spread_dynamic_v3 leaderboard.
mappo,mappo/best_04.json,combined,4,-33.24172592163086,Imported from combined2 simple_spread_dynamic_v3 leaderboard.
mappo,mappo/best_05.json,external_optuna_dynamic_mappo_pimac_03,5,-33.38966407775879,Imported from combined2 simple_spread_dynamic_v3 leaderboard.
iql,iql/best_01.json,combined,1,-33.03367691040039,Imported from combined2 simple_spread_dynamic_v3 leaderboard.
iql,iql/best_02.json,combined,2,-33.98479080200195,Imported from combined2 simple_spread_dynamic_v3 leaderboard.
iql,iql/best_03.json,combined,3,-34.19700622558594,Imported from combined2 simple_spread_dynamic_v3 leaderboard.
iql,iql/best_04.json,combined,4,-36.526347351074214,Imported from combined2 simple_spread_dynamic_v3 leaderboard.
iql,iql/best_05.json,combined,5,-36.76309394836426,Imported from combined2 simple_spread_dynamic_v3 leaderboard.
ippo,ippo/best_01.json,combined,1,-32.11944580078125,Imported from combined2 simple_spread_dynamic_v3 leaderboard.
ippo,ippo/best_02.json,combined,2,-32.11944580078125,Imported from combined2 simple_spread_dynamic_v3 leaderboard.
ippo,ippo/best_03.json,combined,3,-32.51689224243164,Imported from combined2 simple_spread_dynamic_v3 leaderboard.
ippo,ippo/best_04.json,combined,4,-32.65607833862305,Imported from combined2 simple_spread_dynamic_v3 leaderboard.
ippo,ippo/best_05.json,combined,5,-34.515907287597656,Imported from combined2 simple_spread_dynamic_v3 leaderboard.
qmix,qmix/best_01.json,combined,1,-31.902170944213864,Imported from combined2 simple_spread_dynamic_v3 leaderboard.
