algorithm,config_file,source_suite,source_rank,objective_score,note
random,random/best_01.json,manual,1,,Uniform random policy baseline with one minimal config.
mappo,mappo/best_01.json,combined,1,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
mappo,mappo/best_02.json,combined,2,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
mappo,mappo/best_03.json,combined,3,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
mappo,mappo/best_04.json,combined,4,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
mappo,mappo/best_05.json,combined,5,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
iql,iql/best_01.json,combined,1,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
iql,iql/best_02.json,combined,2,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
iql,iql/best_03.json,combined,3,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
iql,iql/best_04.json,combined,4,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
iql,iql/best_05.json,combined,5,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
ippo,ippo/best_01.json,combined,1,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
ippo,ippo/best_02.json,combined,2,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
ippo,ippo/best_03.json,combined,3,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
ippo,ippo/best_04.json,combined,4,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
ippo,ippo/best_05.json,combined,5,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
qmix,qmix/best_01.json,combined,1,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
qmix,qmix/best_02.json,combined,2,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
qmix,qmix/best_03.json,combined,3,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
qmix,qmix/best_04.json,combined,4,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
qmix,qmix/best_05.json,combined,5,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
vdn,vdn/best_01.json,combined,1,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
vdn,vdn/best_02.json,combined,2,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
vdn,vdn/best_03.json,combined,3,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
vdn,vdn/best_04.json,combined,4,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
vdn,vdn/best_05.json,combined,5,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
pimac_v0,pimac_v0/best_01.json,combined,1,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
pimac_v0,pimac_v0/best_02.json,combined,2,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
pimac_v0,pimac_v0/best_03.json,combined,3,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
pimac_v0,pimac_v0/best_04.json,combined,4,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
pimac_v0,pimac_v0/best_05.json,combined,5,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
pimac_v1,pimac_v1/best_01.json,combined,1,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
pimac_v1,pimac_v1/best_02.json,combined,2,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
pimac_v1,pimac_v1/best_03.json,combined,3,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
pimac_v1,pimac_v1/best_04.json,combined,4,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
pimac_v1,pimac_v1/best_05.json,combined,5,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
pimac_v2,pimac_v2/best_01.json,combined,1,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
pimac_v2,pimac_v2/best_02.json,combined,2,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
pimac_v2,pimac_v2/best_03.json,combined,3,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
pimac_v2,pimac_v2/best_04.json,combined,4,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
pimac_v2,pimac_v2/best_05.json,combined,5,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
pimac_v3,pimac_v3/best_01.json,combined,1,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
pimac_v3,pimac_v3/best_02.json,combined,2,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
pimac_v3,pimac_v3/best_03.json,combined,3,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
pimac_v3,pimac_v3/best_04.json,combined,4,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
pimac_v3,pimac_v3/best_05.json,combined,5,1.7239583730697632,Imported from combined2 coop_line_world leaderboard.
